WORD 	P+ 	P-
coelho		0.000892060660125 	0.000421585160202
linen		0.000892060660125 	0.000421585160202
keeps		0.000892060660125 	0.000421585160202
necklace		0.000446030330062 	0.000843170320405
worst		0.000892060660125 	0.00379426644182
lined		0.000892060660125 	0.000421585160202
playing		0.000446030330062 	0.000843170320405
refund		0.000446030330062 	0.000843170320405
cute		0.00446030330062 	0.000843170320405
shoes		0.00446030330062 	0.000843170320405
repair		0.000446030330062 	0.00126475548061
particularly		0.000446030330062 	0.000843170320405
soon		0.000892060660125 	0.000421585160202
isnt		0.000446030330062 	0.000843170320405
paper		0.000892060660125 	0.00126475548061
through		0.000446030330062 	0.00126475548061
looks		0.00178412132025 	0.00463743676223
keyboard		0.000446030330062 	0.00126475548061
mentioned		0.000892060660125 	0.00210792580101
hell		0.000446030330062 	0.000843170320405
still		0.000446030330062 	0.000843170320405
before		0.000892060660125 	0.000843170320405
perfect		0.007136485281 	0.000843170320405
messed		0.000446030330062 	0.000843170320405
style		0.00312221231044 	0.00126475548061
thrilling		0.00133809099019 	0.000421585160202
thank		0.00133809099019 	0.000421585160202
fit		0.00847457627119 	0.00463743676223
interesting		0.00178412132025 	0.000421585160202
expectations		0.000892060660125 	0.000421585160202
actually		0.000446030330062 	0.000843170320405
better		0.000446030330062 	0.000843170320405
techie		0.000892060660125 	0.000421585160202
spellbound		0.00133809099019 	0.000421585160202
minute		0.000892060660125 	0.000421585160202
nifty		0.000446030330062 	0.000843170320405
might		0.000446030330062 	0.000843170320405
setting		0.000446030330062 	0.000843170320405
non		0.000446030330062 	0.000843170320405
good		0.0240856378234 	0.0151770657673
return		0.000446030330062 	0.00168634064081
combination		0.00133809099019 	0.000421585160202
entire		0.000446030330062 	0.000843170320405
matches		0.000892060660125 	0.000421585160202
material		0.00401427297056 	0.00885328836425
legendary		0.000892060660125 	0.000421585160202
hands		0.000446030330062 	0.000843170320405
not		0.00401427297056 	0.0387858347386
handy		0.000892060660125 	0.000421585160202
nor		0.000446030330062 	0.000843170320405
mystery		0.000892060660125 	0.000421585160202
easily		0.00133809099019 	0.000421585160202
name		0.000446030330062 	0.000843170320405
pregnant		0.000446030330062 	0.000843170320405
always		0.00133809099019 	0.000421585160202
reasonably		0.000892060660125 	0.000421585160202
drop		0.00133809099019 	0.000421585160202
moderate		0.000892060660125 	0.000421585160202
rocks		0.00133809099019 	0.000421585160202
unpredictable		0.000892060660125 	0.000421585160202
slide		0.000892060660125 	0.000421585160202
reasonable		0.00223015165031 	0.000421585160202
each		0.000892060660125 	0.000421585160202
colleagues		0.000892060660125 	0.000421585160202
difficult		0.000446030330062 	0.00168634064081
reminds		0.000446030330062 	0.000843170320405
flipkart		0.000892060660125 	0.00337268128162
em		0.000892060660125 	0.000421585160202
harm		0.000446030330062 	0.000843170320405
everyone		0.000892060660125 	0.000421585160202
weight		0.000892060660125 	0.000843170320405
series		0.000892060660125 	0.000843170320405
hard		0.000892060660125 	0.000421585160202
used		0.000892060660125 	0.000421585160202
engaging		0.000446030330062 	0.000843170320405
pirated		0.000446030330062 	0.00126475548061
books		0.000892060660125 	0.000843170320405
expect		0.000892060660125 	0.000421585160202
okay		0.000892060660125 	0.00168634064081
lesson		0.000446030330062 	0.000843170320405
special		0.000446030330062 	0.000843170320405
really		0.0035682426405 	0.00210792580101
large		0.000446030330062 	0.00210792580101
shown		0.000892060660125 	0.000843170320405
gamers		0.000446030330062 	0.000843170320405
rs		0.000892060660125 	0.000421585160202
retuning		0.000446030330062 	0.000843170320405
washed		0.000446030330062 	0.000843170320405
factory		0.000446030330062 	0.000843170320405
rd		0.000446030330062 	0.000843170320405
adjust		0.000892060660125 	0.000421585160202
print		0.000892060660125 	0.00126475548061
got		0.00133809099019 	0.00252951096121
washes		0.000892060660125 	0.000421585160202
issue		0.000892060660125 	0.00126475548061
correct		0.000892060660125 	0.000421585160202
red		0.000892060660125 	0.000421585160202
mesmerised		0.000892060660125 	0.000421585160202
pathetic		0.000446030330062 	0.00168634064081
given		0.000892060660125 	0.00126475548061
free		0.000446030330062 	0.000843170320405
standard		0.000446030330062 	0.00210792580101
geared		0.000446030330062 	0.000843170320405
quick		0.00178412132025 	0.000843170320405
completely		0.000892060660125 	0.00168634064081
masterpiece		0.00178412132025 	0.000843170320405
unsightly		0.000892060660125 	0.000421585160202
complimenting		0.000892060660125 	0.000421585160202
put		0.000892060660125 	0.000421585160202
fragnance		0.000446030330062 	0.00126475548061
wanted		0.000892060660125 	0.000421585160202
software		0.000446030330062 	0.000843170320405
thread		0.000892060660125 	0.000421585160202
backside		0.000446030330062 	0.000843170320405
inexpensive		0.000892060660125 	0.000421585160202
days		0.000446030330062 	0.000843170320405
times		0.000892060660125 	0.000421585160202
lousy		0.000446030330062 	0.000843170320405
shipped		0.000446030330062 	0.000843170320405
heck		0.000892060660125 	0.000421585160202
hopeless		0.000446030330062 	0.00126475548061
swing		0.000892060660125 	0.000421585160202
broken		0.000446030330062 	0.00126475548061
purpose		0.000892060660125 	0.000421585160202
enjoy		0.000892060660125 	0.000421585160202
major		0.000446030330062 	0.000843170320405
bling		0.00133809099019 	0.000421585160202
achingly		0.000892060660125 	0.000421585160202
grade		0.000446030330062 	0.000843170320405
third		0.000446030330062 	0.000843170320405
powerful		0.000892060660125 	0.000421585160202
owned		0.000446030330062 	0.000843170320405
excately		0.000892060660125 	0.000421585160202
feet		0.000892060660125 	0.000843170320405
fits		0.00490633363069 	0.000421585160202
philosophical		0.000446030330062 	0.000843170320405
improvements		0.000446030330062 	0.000843170320405
done		0.000892060660125 	0.000421585160202
spots		0.000446030330062 	0.000843170320405
another		0.000892060660125 	0.000421585160202
carry		0.000892060660125 	0.000843170320405
xs		0.000892060660125 	0.000421585160202
clarity		0.000446030330062 	0.000843170320405
quality		0.00892060660125 	0.0172849915683
size		0.00312221231044 	0.00885328836425
story		0.00267618198037 	0.00168634064081
sandals		0.00223015165031 	0.000843170320405
checked		0.000446030330062 	0.000843170320405
service		0.00133809099019 	0.00337268128162
totally		0.00223015165031 	0.000843170320405
top		0.00178412132025 	0.00168634064081
neck		0.000892060660125 	0.00126475548061
girls		0.000446030330062 	0.000843170320405
comfy		0.000892060660125 	0.000421585160202
fiction		0.000446030330062 	0.000843170320405
anyone		0.000892060660125 	0.000421585160202
needed		0.000892060660125 	0.000421585160202
flimsy		0.000446030330062 	0.00168634064081
wonderful		0.00178412132025 	0.000421585160202
too		0.00223015165031 	0.0122259696459
time		0.00312221231044 	0.00252951096121
shoppers		0.000892060660125 	0.000421585160202
white		0.000446030330062 	0.00126475548061
legs		0.000446030330062 	0.00126475548061
store		0.000446030330062 	0.000843170320405
low		0.00223015165031 	0.00210792580101
murder		0.000892060660125 	0.000421585160202
scintillating		0.000892060660125 	0.000421585160202
courier		0.000446030330062 	0.000843170320405
exactly		0.000892060660125 	0.000421585160202
ink		0.000446030330062 	0.000843170320405
took		0.000892060660125 	0.000421585160202
dupatta		0.000446030330062 	0.000843170320405
slider		0.000446030330062 	0.00126475548061
slowoutdated		0.000446030330062 	0.000843170320405
push		0.000446030330062 	0.000843170320405
discounted		0.000446030330062 	0.000843170320405
copy		0.000892060660125 	0.000843170320405
appreciated		0.000892060660125 	0.000421585160202
waist		0.000446030330062 	0.00126475548061
ipad		0.000446030330062 	0.000843170320405
wide		0.000446030330062 	0.000843170320405
kind		0.000446030330062 	0.000843170320405
perfectly		0.00133809099019 	0.000421585160202
threads		0.000446030330062 	0.000843170320405
unfortunately		0.000446030330062 	0.000843170320405
bag		0.00178412132025 	0.00126475548061
boring		0.000446030330062 	0.00168634064081
device		0.000892060660125 	0.000843170320405
rate		0.000892060660125 	0.000843170320405
matter		0.000446030330062 	0.000843170320405
fabulous		0.00178412132025 	0.000421585160202
cuff		0.000446030330062 	0.000843170320405
painful		0.000446030330062 	0.000843170320405
loves		0.000892060660125 	0.000421585160202
light		0.00312221231044 	0.000843170320405
wastage		0.000446030330062 	0.00126475548061
feeling		0.000446030330062 	0.000843170320405
brilliant		0.00133809099019 	0.000421585160202
outstanding		0.00133809099019 	0.000421585160202
wasnt		0.000892060660125 	0.000421585160202
grayish		0.000446030330062 	0.000843170320405
comfortable		0.007136485281 	0.000843170320405
lifetransforming		0.000892060660125 	0.000421585160202
selling		0.000446030330062 	0.00126475548061
suspense		0.000892060660125 	0.000421585160202
need		0.000892060660125 	0.000843170320405
seen		0.000446030330062 	0.00126475548061
cumbersome		0.000446030330062 	0.000843170320405
border		0.000892060660125 	0.000421585160202
neckside		0.000892060660125 	0.000421585160202
genuine		0.00133809099019 	0.000843170320405
built		0.000446030330062 	0.000843170320405
thoroughly		0.000892060660125 	0.000421585160202
recommended		0.000892060660125 	0.00126475548061
materials		0.000446030330062 	0.000843170320405
useless		0.000446030330062 	0.000843170320405
online		0.000892060660125 	0.00168634064081
aggravating		0.000446030330062 	0.000843170320405
performance		0.00133809099019 	0.000843170320405
clunky		0.000446030330062 	0.000843170320405
memory		0.000892060660125 	0.000843170320405
play		0.000446030330062 	0.000843170320405
printer		0.000446030330062 	0.00126475548061
multiple		0.000892060660125 	0.000421585160202
though		0.000892060660125 	0.00168634064081
price		0.0115967885816 	0.00590219224283
classy		0.000892060660125 	0.000421585160202
chart		0.000892060660125 	0.00126475548061
falls		0.000892060660125 	0.000421585160202
regular		0.000892060660125 	0.000421585160202
skinner		0.000446030330062 	0.000843170320405
nothing		0.000446030330062 	0.00168634064081
extremely		0.000892060660125 	0.00252951096121
class		0.000446030330062 	0.00168634064081
funnier		0.000892060660125 	0.000421585160202
beginners		0.000446030330062 	0.00126475548061
misadvertised		0.000446030330062 	0.000843170320405
sturdy		0.00133809099019 	0.000421585160202
mobile		0.000892060660125 	0.000421585160202
average		0.00178412132025 	0.00252951096121
request		0.000446030330062 	0.000843170320405
order		0.000446030330062 	0.000843170320405
unreasonably		0.000446030330062 	0.000843170320405
gorgeatte		0.000446030330062 	0.000843170320405
professional		0.000892060660125 	0.000421585160202
entertaining		0.000892060660125 	0.000421585160202
notch		0.000892060660125 	0.000421585160202
away		0.000446030330062 	0.000843170320405
came		0.000446030330062 	0.00126475548061
printheads		0.000446030330062 	0.000843170320405
overpriced		0.000446030330062 	0.000843170320405
gold		0.000892060660125 	0.000421585160202
summer		0.000892060660125 	0.000421585160202
please		0.000446030330062 	0.00168634064081
system		0.000446030330062 	0.00126475548061
cheap		0.000892060660125 	0.00505902192243
colors		0.000892060660125 	0.000421585160202
shoe		0.000892060660125 	0.000421585160202
utter		0.000446030330062 	0.000843170320405
tend		0.000446030330062 	0.000843170320405
fine		0.00223015165031 	0.00126475548061
find		0.000892060660125 	0.000843170320405
help		0.000446030330062 	0.000843170320405
fibre		0.000446030330062 	0.000843170320405
slow		0.000446030330062 	0.00252951096121
thriller		0.000892060660125 	0.000421585160202
treasure		0.000892060660125 	0.000421585160202
written		0.000892060660125 	0.000843170320405
unhappy		0.000446030330062 	0.00126475548061
should		0.000892060660125 	0.000421585160202
won		0.000892060660125 	0.000421585160202
black		0.000892060660125 	0.000421585160202
buying		0.00223015165031 	0.00126475548061
rich		0.000892060660125 	0.000421585160202
money		0.00312221231044 	0.00421585160202
stain		0.000446030330062 	0.000843170320405
inferior		0.000446030330062 	0.000843170320405
wearing		0.000892060660125 	0.000421585160202
handle		0.000892060660125 	0.000421585160202
above		0.000892060660125 	0.000421585160202
loved		0.007136485281 	0.000421585160202
overall		0.00133809099019 	0.000843170320405
expectation		0.000446030330062 	0.00126475548061
satisfied		0.00312221231044 	0.00210792580101
pocket		0.000892060660125 	0.000421585160202
feels		0.000446030330062 	0.000843170320405
ones		0.00133809099019 	0.000421585160202
sliverygray		0.000446030330062 	0.000843170320405
perfection		0.000892060660125 	0.000421585160202
buyer		0.000446030330062 	0.000843170320405
nasty		0.000446030330062 	0.000843170320405
luks		0.000892060660125 	0.000421585160202
smash		0.000446030330062 	0.000843170320405
runs		0.00133809099019 	0.000843170320405
stitching		0.000892060660125 	0.00126475548061
lame		0.000446030330062 	0.000843170320405
boarder		0.000892060660125 	0.000421585160202
twice		0.000446030330062 	0.000843170320405
bad		0.00223015165031 	0.00843170320405
stuff		0.000892060660125 	0.000843170320405
hype		0.000446030330062 	0.000843170320405
tablets		0.000892060660125 	0.000421585160202
finishing		0.000446030330062 	0.000843170320405
steal		0.000892060660125 	0.000421585160202
thumbs		0.000446030330062 	0.000843170320405
affordable		0.00133809099019 	0.000421585160202
set		0.00133809099019 	0.000843170320405
art		0.000892060660125 	0.000421585160202
disaster		0.000446030330062 	0.000843170320405
fascinating		0.000892060660125 	0.000421585160202
attached		0.000892060660125 	0.000421585160202
enjoyed		0.000892060660125 	0.000421585160202
edition		0.000892060660125 	0.000421585160202
dumb		0.000446030330062 	0.000843170320405
racket		0.000446030330062 	0.00126475548061
smashes		0.000446030330062 	0.000843170320405
unusably		0.000446030330062 	0.000843170320405
best		0.00401427297056 	0.000843170320405
pattern		0.000892060660125 	0.000421585160202
wow		0.00133809099019 	0.000843170320405
definite		0.000892060660125 	0.000421585160202
artificial		0.000446030330062 	0.000843170320405
superb		0.00223015165031 	0.000421585160202
junkies		0.000446030330062 	0.000843170320405
behind		0.000446030330062 	0.000843170320405
future		0.000892060660125 	0.000421585160202
faile		0.000446030330062 	0.000843170320405
embroidery		0.000892060660125 	0.000421585160202
horrible		0.000446030330062 	0.00252951096121
reading		0.000892060660125 	0.000421585160202
bought		0.00133809099019 	0.000421585160202
available		0.00133809099019 	0.000843170320405
loose		0.000446030330062 	0.00126475548061
wears		0.00133809099019 	0.000421585160202
missing		0.000892060660125 	0.000843170320405
blaster		0.000446030330062 	0.000843170320405
screen		0.000446030330062 	0.000843170320405
were		0.000446030330062 	0.00252951096121
job		0.00133809099019 	0.000421585160202
wear		0.00267618198037 	0.00168634064081
interface		0.000446030330062 	0.000843170320405
fittings		0.00133809099019 	0.000421585160202
received		0.000446030330062 	0.00252951096121
piece		0.000446030330062 	0.00210792580101
last		0.000446030330062 	0.000843170320405
tablet		0.0035682426405 	0.00168634064081
fault		0.000446030330062 	0.000843170320405
heating		0.000446030330062 	0.000843170320405
disappointment		0.000446030330062 	0.000843170320405
let		0.000446030330062 	0.000843170320405
placebo		0.000446030330062 	0.000843170320405
whole		0.000892060660125 	0.000843170320405
comes		0.000446030330062 	0.00126475548061
load		0.000446030330062 	0.000843170320405
gorgeous		0.00178412132025 	0.000421585160202
liked		0.00133809099019 	0.000421585160202
color		0.00312221231044 	0.00252951096121
sweet		0.000892060660125 	0.000421585160202
others		0.000892060660125 	0.000421585160202
period		0.000892060660125 	0.000421585160202
height		0.000446030330062 	0.00126475548061
packaging		0.000892060660125 	0.00252951096121
simply		0.00178412132025 	0.000421585160202
likes		0.000892060660125 	0.000421585160202
enthralling		0.000892060660125 	0.000421585160202
table		0.00267618198037 	0.00295109612142
narrowed		0.000446030330062 	0.000843170320405
trust		0.000446030330062 	0.000843170320405
expensive		0.00133809099019 	0.000843170320405
late		0.000446030330062 	0.000843170320405
strong		0.000446030330062 	0.000843170320405
described		0.00133809099019 	0.000421585160202
raise		0.000446030330062 	0.000843170320405
tremendous		0.000892060660125 	0.000421585160202
decent		0.00267618198037 	0.000843170320405
create		0.000892060660125 	0.000421585160202
due		0.000446030330062 	0.000843170320405
been		0.000892060660125 	0.000421585160202
mark		0.000446030330062 	0.00252951096121
quie		0.000892060660125 	0.000421585160202
much		0.00267618198037 	0.000421585160202
dont		0.000892060660125 	0.00632377740304
wobbly		0.000446030330062 	0.00126475548061
basic		0.00133809099019 	0.000843170320405
expected		0.00267618198037 	0.00337268128162
waste		0.000446030330062 	0.00505902192243
spoiling		0.000446030330062 	0.000843170320405
wants		0.000446030330062 	0.000843170320405
shoulders		0.000892060660125 	0.00126475548061
both		0.00133809099019 	0.000421585160202
turned		0.000446030330062 	0.000843170320405
body		0.000446030330062 	0.000843170320405
else		0.000446030330062 	0.000843170320405
sleeves		0.000892060660125 	0.00168634064081
personally		0.00133809099019 	0.000421585160202
worked		0.000892060660125 	0.000421585160202
sad		0.000892060660125 	0.000421585160202
novel		0.00133809099019 	0.000843170320405
straight		0.000446030330062 	0.000843170320405
appearance		0.000446030330062 	0.000843170320405
budget		0.000892060660125 	0.000421585160202
value		0.00178412132025 	0.000421585160202
healthy		0.000892060660125 	0.000421585160202
while		0.000446030330062 	0.000843170320405
neat		0.000892060660125 	0.000421585160202
reliably		0.000446030330062 	0.000843170320405
many		0.000892060660125 	0.000843170320405
newspaper		0.000446030330062 	0.000843170320405
advisable		0.000446030330062 	0.000843170320405
coolest		0.000892060660125 	0.000421585160202
adjusts		0.000892060660125 	0.000421585160202
costly		0.000446030330062 	0.000843170320405
hoping		0.000446030330062 	0.000843170320405
almost		0.000446030330062 	0.000843170320405
motivational		0.000892060660125 	0.000421585160202
ir		0.000446030330062 	0.000843170320405
canon		0.000446030330062 	0.000843170320405
disappointing		0.000446030330062 	0.00168634064081
cant		0.00133809099019 	0.00210792580101
beautifully		0.00133809099019 	0.000421585160202
turner		0.00133809099019 	0.000421585160202
saddening		0.000446030330062 	0.000843170320405
funny		0.00133809099019 	0.000421585160202
different		0.000892060660125 	0.00379426644182
shirt		0.000446030330062 	0.00252951096121
anymore		0.000446030330062 	0.000843170320405
shiny		0.000892060660125 	0.000421585160202
suggest		0.000446030330062 	0.000843170320405
make		0.000892060660125 	0.000421585160202
same		0.00223015165031 	0.000843170320405
varies		0.000446030330062 	0.000843170320405
paulo		0.000892060660125 	0.000421585160202
amazingly		0.000892060660125 	0.000421585160202
complaints		0.000892060660125 	0.000421585160202
party		0.000892060660125 	0.000421585160202
flair		0.000892060660125 	0.000421585160202
higher		0.000446030330062 	0.000843170320405
breakdown		0.000446030330062 	0.000843170320405
meets		0.000892060660125 	0.000421585160202
finish		0.000446030330062 	0.000843170320405
slightly		0.000446030330062 	0.000843170320405
keys		0.000446030330062 	0.000843170320405
fruit		0.000446030330062 	0.000843170320405
arrived		0.000892060660125 	0.00126475548061
user		0.00178412132025 	0.000421585160202
opinion		0.000446030330062 	0.000843170320405
robust		0.000892060660125 	0.000421585160202
terribly		0.000446030330062 	0.000843170320405
wyswyg		0.000892060660125 	0.000421585160202
collar		0.000446030330062 	0.000843170320405
tighter		0.000446030330062 	0.000843170320405
safe		0.000446030330062 	0.00168634064081
suitable		0.000892060660125 	0.000843170320405
off		0.000446030330062 	0.000843170320405
center		0.000446030330062 	0.00126475548061
